title	DOI	url	issns	journal	authors	issns1	issns2	published_on	last_updated	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_gplus_count	cited_by_msm_count	cited_by_posts_count	cited_by_rdts_count	cited_by_tweeters_count	cited_by_videos_count	cited_by_accounts_count	cited_by_patents_count	mendeley	altmetric_score	is_oa	author.names	issn	citations	CiteScore	SJR	WebQualis
An explanatory model of functional exercise capacity in patients with systemic sclerosis: considerations for rehabilitation programs	10.1589/jpts.28.569	http://dx.doi.org/10.1589/jpts.28.569	0915-5287	Journal of Physical Therapy Science	Agnaldo José Lopes			2016	1647082225	0	0	0	0	2	0	2	0	2	0	46	2	TRUE	Agnaldo José Lopes, Arthur de Sá Ferreira, Tatiana Rafaela Lemos Lima, Sara Lucia Silveira Menezes, Fernando Silva Guimarães	0915-5287	4	NA	NA	C
Analysis of elderly outpatients in relation to nutritional status, sarcopenia, renal function, and bone density	10.1590/0004-2730000002580	http://dx.doi.org/10.1590/0004-2730000002580	2359-3997	Archives of Endocrinology and Metabolism	Franciany Viana Salmaso			2014	1401272216	0	0	0	0	1	0	1	0	1	0	80	1	TRUE	Franciany Viana Salmaso, Patrícia dos Santos Vigário, Laura Maria Carvalho de Mendonça, Miguel Madeira, Leonardo Vieira Netto, Marcela Rodrigues Moreira Guimarães, Maria Lucia Fleiuss de Farias	2359-3997	8	3.1	0.461	B2
Analysis of the postural stabilization in the upright stance using optimization properties	10.1016/j.bspc.2019.04.009	http://dx.doi.org/10.1016/j.bspc.2019.04.009	1746-8094	Biomedical Signal Processing and Control	Carla Porto			2019	1644055991	0	0	0	0	2	0	1	0	1	0	12	1	FALSE	Carla Porto, Thiago Lemos, Arthur Sá Ferreira	1746-8094	6	8.2	1.284	A1
Anterior component of Y‐Balance test is correlated to ankle dorsiflexion range of motion in futsal players: A cross‐sectional study	10.1002/pri.2028	http://dx.doi.org/10.1002/pri.2028	1358-2267	Physiotherapy Research International	Camilo Zumbi Rafagnin			2023	1695685854	0	0	0	0	2	0	2	0	2	0	15	1	FALSE	Camilo Zumbi Rafagnin, Arthur de Sá Ferreira, Gustavo Felicio Telles, Thiago Lemos de Carvalho, Dângelo José de Andrade Alexandre, Leandro Alberto Calazans Nogueira	1358-2267	0	3.4	0.608	A4
Are group-based high-intensity aerobic interval training modalities the future of the cardiac rehabilitation?	10.1016/j.hjc.2019.10.015	http://dx.doi.org/10.1016/j.hjc.2019.10.015	1109-9666	Hellenic journal of cardiology HJC Hellēnikē kardiologikē epitheōrēsē	Jannis Papathanasiou			2019	1643625395	0	0	0	0	2	0	1	0	1	0	23	1	TRUE	Jannis Papathanasiou, Donka Dimitrova, Nigyar Dzhafer, Kostadin Kanalev, Yannis Dionyssiotis, Arthur Sa Ferreira, Fernando Silva Guimarães, Agnaldo José Lopes, Dorothea Tsekoura	1109-9666	4	5.8	0.606	A3
Are we missing the opioid consumption in low- and middle-income countries?	10.1515/sjpain-2023-0086	http://dx.doi.org/10.1515/sjpain-2023-0086	1877-8860	Scandinavian Journal of Pain	Igor Correia			2023	1703587833	0	0	0	0	20	0	12	0	12	0	6	9	TRUE	Igor Correia, Ney Meziat-Filho, Andrea D. Furlan, Bruno Saragiotto, Felipe J. J. Reis	1877-8860	0	2.9	0.585	A3
As diferentes manifestações da heminegligência e sua avaliação clí­nica	10.33233/fb.v19i2.2314	http://dx.doi.org/10.33233/fb.v19i2.2314	1518-9740	Fisioterapia Brasil	Manuel Leite Lopes			2018	1604257045	0	0	0	0	1	0	0	0	1	0	13	3	FALSE	Manuel Leite Lopes, Mauricio De Sant Anna Jr, Hebert Pereira Ferreira, Rossano Fiorelli, Victor Hugo Bastos, Marco Orsini, Charles André	1518-9740	0	NA	NA	B2
Asserted and neglected issues linking evidence-based and Chinese medicines for cardiac rehabilitation	10.4330/wjc.v6.i5.295	http://dx.doi.org/10.4330/wjc.v6.i5.295	1949-8462	World Journal of Cardiology	Arthur de Sá Ferreira			2014	1649850358	0	0	0	0	1	0	1	0	1	0	26	1	TRUE	Arthur de Sá Ferreira, Nathalia Gomes Ribeiro de Moura	1949-8462	3	1.9	0.579	C
Assessment of energy expenditure in individuals with post-poliomyelitis syndrome	10.1590/0004-282x20170013	http://dx.doi.org/10.1590/0004-282x20170013	0004-282X	Arquivos de Neuro-Psiquiatria	Roberto Dias Batista Pereira			2017	1490795040	1	0	0	0	2	0	1	0	2	0	28	1	TRUE	Roberto Dias Batista Pereira, Tatiana Mesquita e Silva, Abrahão Augusto Juviniano Quadros, Marco Orsini, Beny Schmidt, Helga Cristina Almeida Silva, Acary Souza Bulle Oliveira	0004-282X	0	2.1	0.341	B2
Assessment of Exoskeleton Related Changes in Kinematics and Muscle Activity	10.1007/978-3-030-69547-7_83	http://dx.doi.org/10.1007/978-3-030-69547-7_83	2195-3562	Biosystems & Biorobotics	dos Anjos, F. V.			2021	1656925261	0	0	0	0	1	0	1	0	1	0	4	1	FALSE	dos Anjos, F. V., Vieira, T. M., Cerone, G. L., Pinto, T. P., Gazzoni, M., dos Anjos, Fabio V., Vieira, Taian M., Cerone, Giacinto L., Pinto, Talita P., Gazzoni, Marco	2195-3562	0	0.7	NA	NA
Assessment of Functional Capacity in Patients with Nondialysis-Dependent Chronic Kidney Disease with the Glittre Activities of Daily Living Test	10.3390/healthcare11121809	http://dx.doi.org/10.3390/healthcare11121809	2227-9032	Healthcare	Mauro Ribeiro Balata			2023	1687271458	0	0	0	0	1	0	1	0	1	0	9	1	TRUE	Mauro Ribeiro Balata, Arthur Sá Ferreira, Ariane da Silva Sousa, Laura Felipe Meinertz, Luciana Milhomem de Sá, Vinicius Guterres Araujo, Jannis Papathanasiou, Agnaldo José Lopes	2227-9032	0	4.9	0.606	A3
Assessment of short- and long-term functionality and quality of life in patients with post-acute COVID-19 syndrome.	10.3233/bmr-220308	http://dx.doi.org/10.3233/bmr-220308	1053-8127	Journal of Back & Musculoskeletal Rehabilitation	João Eduardo de Azevedo Vieira			2023	1676591792	0	1	0	0	7	0	3	0	4	0	22	10	TRUE	João Eduardo de Azevedo Vieira, Thiago Thomaz Mafort, Laura Braga Monnerat, Mariana Soares da Cal, Angelo Thomaz Abalada Ghetti, Agnaldo José Lopes	1053-8127	3	2.4	0.459	A4
Associação Brasileira de Fisiotherapia Neurofunctional (ABRAFIN) Best Abstract Awards	10.1097/npt.0b013e3182840354	http://dx.doi.org/10.1097/npt.0b013e3182840354	1557-0576	Journal of Neurologic Physical Therapy				2013	1362412290	1	0	0	0	4	0	1	0	2	0	3	1	TRUE		1557-0576	0	6.4	0.823	A1
Associação entre postura, função pulmonar e capacidade funcional na fibrose quística	10.1016/j.rppneu.2012.07.001	http://dx.doi.org/10.1016/j.rppneu.2012.07.001	0873-2159	Revista Portuguesa de Pneumologia	J.T.S. Penafortes			2012	1354363801	0	0	0	0	1	0	1	0	1	0	30	1	TRUE	J.T.S. Penafortes, F.S. Guimarães, V.J.R. Moço, V.P. Almeida, R.F. Dias, A.J. Lopes	0873-2159	14	NA	NA	B2
Association among body composition, muscle performance and functional autonomy in older adults	10.1590/0103-5150.028.001.ao05	http://dx.doi.org/10.1590/0103-5150.028.001.ao05	0103-5150	Fisioterapia em Movimento	Bruno Lucas Gonçalves			2015	1647947027	0	0	0	0	1	0	1	0	1	0	29	1	TRUE	Bruno Lucas Gonçalves, Fernando Silva Guimarães, Marcel Lima Lessa de Souza, Arthur de Sá Ferreira, Míriam Raquel Meira Mainenti	0103-5150	1	0.3	NA	B1
Association between home posture habits and low back pain in high school adolescents	10.1007/s00586-014-3571-9	http://dx.doi.org/10.1007/s00586-014-3571-9	0940-6719	European Spine Journal	Ney Meziat Filho			2014	1686924909	5	0	0	0	12	0	6	1	12	0	154	6	FALSE	Ney Meziat Filho, Evandro Silva Coutinho, Gulnar Azevedo e Silva	0940-6719	45	4.7	1.042	A1
Association between home posture habits and neck pain in High School adolescents	10.3233/bmr-150339	http://dx.doi.org/10.3233/bmr-150339	1053-8127	Journal of Back & Musculoskeletal Rehabilitation	Ney Meziat-Filho			2017	1569456801	0	0	0	0	4	0	4	0	4	0	115	4	FALSE	Ney Meziat-Filho, Gulnar Azevedo e Silva, Evandro Silva Coutinho, Roberta Mendonça, Vivian Santos	1053-8127	11	2.4	0.459	A4
Association between knee-to-hip flexion ratio during single-leg vertical landings, and strength and range of motion in professional soccer players	10.1080/14763141.2018.1494207	http://dx.doi.org/10.1080/14763141.2018.1494207	1476-3141	Sports Biomechanics	Gustavo Leporace			2018	1642664583	0	0	0	0	8	0	6	0	6	0	91	3	FALSE	Gustavo Leporace, Marcio Tannure, Gabriel Zeitoune, Leonardo Metsavaht, Moacir Marocolo, Alex Souto Maior	1476-3141	3	5.1	0.684	A3
Association Between Low Back Pain and Biomedical Beliefs in Academics of Physiotherapy.	10.1097/brs.0000000000003487	http://dx.doi.org/10.1097/brs.0000000000003487	0362-2436	Spine	Aline Souza Gomes			2020	1642807320	0	0	0	0	15	0	8	0	8	0	36	5	FALSE	Aline Souza Gomes, Arthur de Sá Ferreira, Felipe José Jandre Reis, Fabianna Resende de Jesus-Moraleida, Leandro Alberto Calazans Nogueira, Ney Meziat-Filho	0362-2436	4	5.7	1.221	A1
Association between pain drawing and psychological factors in musculoskeletal chronic pain: A systematic review	10.1080/09593985.2018.1455122	http://dx.doi.org/10.1080/09593985.2018.1455122	0959-3985	Physiotherapy Theory & Practice	Felipe Reis			2018	1567345969	0	0	0	0	26	0	21	0	21	0	222	12	FALSE	Felipe Reis, Fernanda Guimarães, Leandro Calazans Nogueira, Ney Meziat-Filho, Tiago A. Sanchez, Timothy Wideman	0959-3985	40	3.1	0.561	A4
Association Between Text Neck and Neck Pain in Adults	10.1097/brs.0000000000003854	http://dx.doi.org/10.1097/brs.0000000000003854	0362-2436	Spine	Igor Macedo Tavares Correia			2020	1715788837	4	1	0	6	256	0	179	7	197	0	113	176	FALSE	Igor Macedo Tavares Correia, Arthur de Sá Ferreira, Jessica Fernandez, Felipe José Jandre Reis, Leandro Alberto Calazans Nogueira, Ney Meziat-Filho	0362-2436	14	5.7	1.221	A1
Association of Functional Characteristics and Physiotherapy with COVID-19 Mortality in Intensive Care Unit in Inpatients with Cardiovascular Diseases	10.3390/medicina58060823	http://dx.doi.org/10.3390/medicina58060823	1010-660X	Medicina (MDPI)	Chiara Andrade Silva			2022	1671364988	0	0	0	0	5	0	3	0	4	0	39	3	TRUE	Chiara Andrade Silva, Agnaldo José Lopes, Jannis Papathanasiou, Luis Felipe Fonseca Reis, Arthur Sá Ferreira	1010-660X	0	3.6	0.593	A4
Association of Multiple Cardiovascular Risk Factors with Musculoskeletal Function in Acute Coronary Syndrome Ward Inpatients	10.3390/healthcare11070954	http://dx.doi.org/10.3390/healthcare11070954	2227-9032	Healthcare	Gabriel Parisotto			2023	1680022450	0	0	0	0	4	0	4	0	4	0	6	3	TRUE	Gabriel Parisotto, Luis Felipe Fonseca Reis, Mauricio Sant’Anna, Jannis Papathanasiou, Agnaldo José Lopes, Arthur Sá Ferreira	2227-9032	0	4.9	0.606	A3
Athletes Motivation, Anxiety and Locus of Control at the Brazilian Powerchair Football National Championship	10.5507/euj.2021.011	http://dx.doi.org/10.5507/euj.2021.011	1803-3857	European Journal of Adapted Physical Activity	Angela Nogueira Neves			2022	1658619359	0	0	0	0	10	0	10	0	10	0	17	8	TRUE	Angela Nogueira Neves, Marcelo Callegari Zanetti, Joelson Guilherme de Almeida, Míriam Raquel Meira Mainenti, Patrícia dos Santos Vigário	1803-3857	1	1.6	0.248	B1
Balance control is impaired in adults with sickle cell anaemia	10.1080/08990220.2018.1481829	http://dx.doi.org/10.1080/08990220.2018.1481829	0899-0220	Somatosensory & Motor Research	Priscila Oliveira Silva			2018	1644922759	0	0	0	0	1	0	1	0	1	0	38	1	FALSE	Priscila Oliveira Silva, Arthur Sá Ferreira, Carla Martins de Araujo Lima, Fernando Silva Guimarães, Agnaldo José Lopes	0899-0220	3	NA	NA	B2
Balance Deficits are Correlated with Bronchial Obstruction Markers in Subjects with Asthma	10.1589/jpts.26.393	http://dx.doi.org/10.1589/jpts.26.393	0915-5287	Journal of Physical Therapy Science	Agnaldo José Lopes			2014	1484014925	0	0	0	0	3	0	3	0	3	0	46	3	TRUE	Agnaldo José Lopes, Vívian Pinto Almeida, Sara Lucia Silveira Menezes, Fernando Silva Guimarães	0915-5287	7	NA	NA	C
Balance Impairments after Brachial Plexus Injury as Assessed through Clinical and Posturographic Evaluation	10.3389/fnhum.2015.00715	http://dx.doi.org/10.3389/fnhum.2015.00715	1662-5161	Frontiers in Human Neuroscience	Lidiane Souza			2016	1453727629	0	0	0	0	1	0	1	0	1	0	49	1	TRUE	Lidiane Souza, Thiago Lemos, Débora C. Silva, José M. de Oliveira, José F. Guedes Corrêa, Paulo L. Tavares, Laura A. Oliveira, Erika C. Rodrigues, Claudia D. Vargas	1662-5161	9	4.4	0.787	A2
Basal and Resting Metabolic Rates of Physically Disabled Adult Subjects: A Systematic Review of Controlled Cross-Sectional Studies	10.1159/000365175	http://dx.doi.org/10.1159/000365175	0250-6807	Annals of Nutrition and Metabolism	Ainá Innocencio da Silva Gomes			2014	1433954184	1	0	0	0	1	0	0	0	1	0	40	1	TRUE	Ainá Innocencio da Silva Gomes, Patrícia dos Santos Vigário, Míriam Raquel Meira Mainenti, Marina de Figueiredo Ferreira, Beatriz Gonçalves Ribeiro, Eliane de Abreu Soares	0250-6807	5	7.6	0.833	A3
Beneficial Effects of Ischemic Preconditioning in Resistance Exercise Fade Over Time	10.1055/s-0042-109066	http://dx.doi.org/10.1055/s-0042-109066	0172-4622	International Journal of Sports Medicine	M Marocolo			2016	1491906845	0	0	0	0	9	0	9	0	9	0	105	5	FALSE	M Marocolo, I C Marocolo, G R da Mota, R Simão, A S Maior, H-J Appell Coriolano	0172-4622	34	5.4	0.73	A2
Benefits of Whole-Body Vibration, as a Component of the Pulmonary Rehabilitation, in Patients with Chronic Obstructive Pulmonary Disease: A Narrative Review with a Suitable Approach	10.1155/2016/2560710	http://dx.doi.org/10.1155/2016/2560710	1741-427X	Evidence-based Complementary & Alternative Medicine (eCAM)	Danubia Sá-Caputo			2016	1463777838	0	0	0	0	5	0	5	0	5	0	61	3	TRUE	Danubia Sá-Caputo, Cintia Renata Gonçalves, Danielle Soares Morel, Eloá Moreira Marconi, Patrícia Fróes, Rogério Rufino, Cláudia Henrique Costa, Agnaldo José Lopes, Adriano Arnóbio, Nasser Ribeiro Asad, Pedro Jesus Marin, Trentham Furness, Mario Bernardo-Filho	1741-427X	10	3.5	NA	A3
Better Work Ability Is Associated With Lower Levels of Both Occupational Stress and Occupational Physical Activity in Professional Drivers	10.1097/jom.0000000000002918	http://dx.doi.org/10.1097/jom.0000000000002918	1076-2752	Journal of Occupational & Environmental Medicine	Cynthia Mara Zilli Casagrande			2023	1697544738	1	0	0	0	13	0	8	0	9	0	9	6	FALSE	Cynthia Mara Zilli Casagrande, Jean Paulo Farias, Ney Meziat-Filho, Leandro Alberto Calazans Nogueira, Arthur Sá Ferreira	1076-2752	0	3.4	0.714	A2
Beyond deficit or compensation: new insights on postural control after long-term total visual loss	10.1007/s00221-016-4799-x	http://dx.doi.org/10.1007/s00221-016-4799-x	0014-4819	Experimental Brain Research	Maitê M. Russo			2016	1477653752	0	0	0	0	1	0	1	0	1	0	39	1	FALSE	Maitê M. Russo, Thiago Lemos, Luís A. Imbiriba, Nathalia L. Ribeiro, Claudia D. Vargas	0014-4819	11	3.5	0.613	B1
Biopsychosocial approaches to telerehabilitation for chronic primary musculoskeletal pain: A real possibility for physical therapists, that is here to stay	10.1016/j.bjpt.2021.04.011	http://dx.doi.org/10.1016/j.bjpt.2021.04.011	0211-5638	Fisioterapia : organo de la Asociacion Espanola de Fisioterapia.	Jessica Fernandez			2021	1702476669	1	0	0	0	45	0	23	0	24	0	42	15	TRUE	Jessica Fernandez, Luciana Crepaldi Lunkes, Ney Meziat-Filho	0211-5638	1	0.4	0.138	B2
Body sway and movement strategies for control of postural stability in people with spinocerebellar ataxia type 3: A cross-sectional study	10.1016/j.clinbiomech.2022.105711	http://dx.doi.org/10.1016/j.clinbiomech.2022.105711	0268-0033	Clinical Biomechanics	Ana Fernanda Galvão			2022	1657132497	0	0	0	0	8	0	6	0	6	0	8	5	FALSE	Ana Fernanda Galvão, Thiago Lemos, Camilla Polonini Martins, Carlos Henrique Ramos Horsczaruk, Laura Alice Santos Oliveira, Arthur de Sá Ferreira	0268-0033	4	3.7	0.52	A3
Brazilian studies on pulmonary function in COPD patients: what are the gaps?	10.2147/copd.s54328	http://dx.doi.org/10.2147/copd.s54328	1176-9106	International Journal of Chronic Obstructive Pulmonary Disease	Agnaldo José Lopes			2016	1468430028	0	0	0	0	2	0	2	0	2	0	49	1	TRUE	Agnaldo José Lopes, Pedro Lopes de Melo	1176-9106	5	4.8	0.954	A1
Brazilian version of the Functional Status Score for the ICU: translation and cross-cultural adaptation	10.5935/0103-507x.20170006	http://dx.doi.org/10.5935/0103-507x.20170006	0103-507X	Revista Brasileira de Terapia Intensiva	Vinicius Zacarias Maldaner da Silva			2017	1594379868	1	0	0	0	47	0	16	0	17	0	122	10	TRUE	Vinicius Zacarias Maldaner da Silva, Jose Aires de Araújo Neto, Gerson Cipriano, Mariela Pinedo, Dale M. Needham, Jennifer M. Zanni, Fernando Silva Guimarães	0103-507X	13	2.7	0.373	B1
Caffeine Increased Muscle Endurance Performance Despite Reduced Cortical Activation and Unchanged Neuromuscular Efficiency and Corticomuscular Coherence	10.3390/nu11102471	http://dx.doi.org/10.3390/nu11102471	2072-6643	Nutrients	Paulo Estevão Franco-Alvarenga			2019	1593058254	0	0	0	0	68	0	58	0	58	0	80	36	TRUE	Paulo Estevão Franco-Alvarenga, Cayque Brietzke, Raul Canestri, Márcio Fagundes Goethel, Bruno Ferreira Viana, Flávio Oliveira Pires	2072-6643	9	9.0	1.301	A1
