journal	created	deposited	published.print	doi	indexed	issn	issue	issued	member	page	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	short.container.title	published.online	language	update.policy	subtitle	archive_	na.	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis	isbn
Revista Brasileira de Educação Física e Esporte	2021-06-05	2021-06-05	NA	10.11606/1807-5509202000020283	2022-04-02	1981-4690,1807-5509	2	2020-06-21	4873	283-293	10.11606	Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)	1	Crossref	0	0	0	General Medicine	Análise cinemática dos membros superiores em atletas de Rugby em cadeira de rodas:	journal-article	http://dx.doi.org/10.11606/1807-5509202000020283	34	Rev Bras Educ Fís Esporte	2020-06-21	NA	NA	estudo observacional	NA	NA	Alexsandro da Silva Oliveira, Diego Ramirez, Luiz Alberto Batista, Patrícia dos Santos Vigário, Julio Guilherme Silva	2020	0	TRUE	NA	NA	B2	NA
Arquivos Brasileiros de Endocrinologia &amp; Metabologia	2014-05-22	2017-05-27	2014-04	10.1590/0004-2730000002580	2022-06-23	0004-2730	3	2014-04	530	226-231	10.1590	FapUNIFESP (SciELO)	1	Crossref	29	29	8	General Medicine,Endocrinology, Diabetes and Metabolism	Análise de idosos ambulatoriais quanto ao estado nutricional, sarcopenia, função renal e densidade óssea	journal-article	http://dx.doi.org/10.1590/0004-2730000002580	58	Arq Bras Endocrinol Metab	NA	NA	NA	NA	NA	NA	Franciany Viana Salmaso, Patrícia dos Santos Vigário, Laura Maria Carvalho de Mendonça, Miguel Madeira, Leonardo Vieira Netto, Marcela Rodrigues Moreira Guimarães, Maria Lucia Fleiuss de Farias	2014	8	TRUE	NA	NA	B2	NA
Brazilian Journal of Physical Therapy	2014-04-01	2016-12-15	NA	10.1590/s1413-35552013005000097	2022-04-05	1413-3555	4	2013-08-01	530	328-335	10.1590	FapUNIFESP (SciELO)	1	Crossref	0	0	5	Rehabilitation,Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation	Analysis of the user satisfaction level in a public physical therapy service	journal-article	http://dx.doi.org/10.1590/s1413-35552013005000097	17	Braz. J. Phys. Ther.	2013-08-01	en	NA	NA	NA	NA	Renato S. Almeida, Leandro A. C. Nogueira, Stéphane Bourliataux-Lajoine	2013	5	TRUE	6.4	0.975	A2	NA
JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH	2016-10-06	2016-10-06	NA	10.7860/jcdr/2016/21846.8503	2022-04-06	2249-782X	NA	2016	4601	NA	10.7860	JCDR Research and Publications	1	Crossref	0	0	1	Clinical Biochemistry,General Medicine	Anatomical and Radiological Aspects of the Supratrochlear Foramen in Brazilians	journal-article	http://dx.doi.org/10.7860/jcdr/2016/21846.8503	NA	JCDR	2016	NA	NA	NA	NA	NA	Carlos AA Chagas	2016	1	TRUE	NA	NA	B3	NA
Neurology International	2015-12-31	2020-10-27	NA	10.4081/ni.2015.5952	2022-03-30	2035-8377,2035-8385	3	2015-12-29	1968	NA	10.3390	MDPI AG	1	Crossref	0	0	2	Neurology (clinical)	Anthropometry of arm: nutritional risk indicator in amyotrophic lateral sclerosis	journal-article	http://dx.doi.org/10.4081/ni.2015.5952	7	Neurol Int	2015-12-29	NA	NA	NA	NA	NA	Cristina Cleide dos Santos Salvioni, Patricia Stanich, Acary Souza Bulle Oliveira, Marco Orsini	2015	2	TRUE	2.2	0.448	B2	NA
Asian Journal of Sports Medicine	2018-11-28	2023-01-15	NA	10.5812/asjsm.82017	2023-01-16	2008-000X,2008-7209	4	2018-11-28	3819	NA	10.5812	Briefland	1	Crossref	53	53	1	Orthopedics and Sports Medicine	Applicability of the Kinect Sensor in the Rehabilitation of Balance Control in the Elderly: A Pilot Study	journal-article	http://dx.doi.org/10.5812/asjsm.82017	9	Asian J Sports Med	2018-11-28	NA	http://dx.doi.org/10.5812/crossmark_update_policy	NA	NA	NA	Hebert Olímpio Junior, Danielle Romanazzi Lopes, Juan Fernandes de Castro, Plínio dos Santos Ramos, André Gustavo Fernandes de Oliveira, Agnaldo José Lopes	2018	1	TRUE	1.0	0.183	B1	NA
Revista Brasileira de Fisiologia do exerc&amp;iacute cio	2021-11-30	2022-12-05	NA	10.33233/rbfex.v20i5.4824	2022-12-06	2675-1372,1677-8510	5	2021-12-07	18483	542-551	10.33233	Convergences Editorial	1	Crossref	0	0	0	General Medicine	Aptidão cardiorrespiratória durante o teste cardiopulmonar de esforço de indivíduos com amputação unilateral de membro inferior	journal-article	http://dx.doi.org/10.33233/rbfex.v20i5.4824	20	Rev Bras Fisiol Exerc	2021-12-07	NA	NA	NA	NA	NA	Roberto Miranda Ramos Costa, Patrícia Marques Aroso Lisboa de Castro, Mauro Augusto dos Santos, Míriam Raquel Meira Mainenti, Agnaldo José Lopes, Patrícia dos Santos Vigário	2021	0	TRUE	NA	NA	B2	NA
Revista Brasileira de Ciência e Movimento	2023-03-24	2023-03-24	NA	10.31501/rbcm.v30i1.12858	2023-03-25	0103-1716	1	2022-04-18	16587	NA	10.31501	Universidade Catolica de Brasilia	1	Crossref	0	0	0	Media Technology	ARE CRANIOCERVICAL FLEXION TEST AND THE PECTORALIS MINOR INDEX USEFUL TESTS FOR PATIENTS WITH SUBACROMIAL PAIN SYNDROME?	journal-article	http://dx.doi.org/10.31501/rbcm.v30i1.12858	30	R. Bras. Ci. e Mov.	2022-04-18	NA	NA	NA	NA	NA	Bruno Senos Queiroz Gomes, Leticia Amaral Corrêa, Juliana Valentim Bittencourt, Ney Armando Meziat-Filho, Julio Guilherme Silva, Leandro Alberto Calazans Nogueira	2022	0	TRUE	NA	NA	B2	NA
Revista Portuguesa de Pneumologia	2013-12-04	2019-08-04	2014-01	10.1016/j.rppneu.2013.06.009	2022-04-02	0873-2159	1	2014-01	78	31-35	10.1016	Elsevier BV	1	Crossref	12	12	1	Pulmonary and Respiratory Medicine	Associação entre a mecânica respiratória e função autonómica na obesidade mórbida	journal-article	http://dx.doi.org/10.1016/j.rppneu.2013.06.009	20	Revista Portuguesa de Pneumologia	NA	pt	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	M. Sant’ Anna Junior, R.F. Carvalhal, J.R.I. Carneiro, M.S. Lapa, W.A. Zin, J.R. Lugon, F.S. Guimarães	2014	1	TRUE	NA	NA	B2	NA
Arquivos Brasileiros de Cardiologia	2015-01-29	2021-03-05	2015	10.5935/abc.20150012	2022-03-29	0066-782X	NA	2015	22636	NA	10.36660	Sociedade Brasileira de Cardiologia	1	Crossref	0	0	1	Cardiology and Cardiovascular Medicine	Association Between Hemodynamic Profile, Physical Capacity and Quality of Life in Pulmonary Hypertension	journal-article	http://dx.doi.org/10.5935/abc.20150012	NA	NA	NA	en	NA	NA	NA	NA	Diego de Faria Magalhães Torres, Walter Araujo Zin, Agnaldo José Lopes, Patrícia dos Santos Vigário, Marcelo Iorio Garcia, Daniel Waetge, Marcelo Luiz da Silva Bandeira, Luiz Gustavo Pignataro Bessa, Fernando Silva Guimarães	2015	1	TRUE	3.4	0.359	B2	NA
BMC Research Notes	2021-02-17	2021-02-17	2021-12	10.1186/s13104-021-05479-x	2022-04-01	1756-0500	1	2021-02-16	297	NA	10.1186	Springer Science and Business Media LLC	1	Crossref	17	17	0	General Biochemistry, Genetics and Molecular Biology,General Medicine	Association between ventilatory efficiency, oxygen uptake, and Glittre-ADL test results in patients with chronic heart failure: a preliminary study	journal-article	http://dx.doi.org/10.1186/s13104-021-05479-x	14	BMC Res Notes	2021-02-16	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	Hebert Olímpio Júnior, Agnaldo José Lopes, Fernando Silva Guimarães, Sergio Luiz Soares Marcos da Cunha Chermont, Sara Lúcia Silveira de Menezes	2021	0	TRUE	4.2	0.534	B1	NA
Fisioterapia e Pesquisa	2020-08-01	2021-01-23	NA	10.1590/1809-2950/19013727022020	2022-03-31	2316-9117,1809-2950	2	2020-06	530	168-173	10.1590	FapUNIFESP (SciELO)	1	Crossref	30	30	0	General Medicine,General Medicine	Avaliação da distribuição do peso corporal em hemiparéticos: medidas posturográficas versus o instrumento Avaliação da Simetria e Transferência de Peso	journal-article	http://dx.doi.org/10.1590/1809-2950/19013727022020	27	Fisioter. Pesqui.	2020-06	NA	NA	NA	NA	NA	Camilla Polonini Martins, Thiago Moreira Xarles, Thiago Lemos, Laura Alice Santos de Oliveira	2020	0	TRUE	NA	NA	B1	NA
Journal of Aging and Physical Activity	2016-09-06	2022-08-02	2017-04	10.1123/japa.2016-0100	2022-09-13	1063-8652,1543-267X	2	2017-04	100	218-227	10.1123	Human Kinetics	1	Crossref	0	0	17	Geriatrics and Gerontology,Gerontology,Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation	Balance Control and Peripheral Muscle Function in Aging: A Comparison Between Individuals with Acromegaly and Healthy Subjects	journal-article	http://dx.doi.org/10.1123/japa.2016-0100	25	NA	NA	NA	NA	NA	NA	NA	Telassin Silva Homem, Fernando Silva Guimarães, Maurício Santos Soares, Leandro Kasuki, Mônica Roberto Gadelha, Agnaldo José Lopes	2017	17	FALSE	3.0	0.507	A3	NA
Neurology International	2015-09-24	2020-10-27	NA	10.4081/ni.2015.5886	2023-05-23	2035-8377,2035-8385	2	2015-09-24	1968	NA	10.3390	MDPI AG	1	Crossref	0	0	23	Neurology (clinical)	Botulinum neurotoxin type A in neurology: update	journal-article	http://dx.doi.org/10.4081/ni.2015.5886	7	Neurol Int	2015-09-24	NA	NA	NA	NA	NA	Marco Orsini, Marco Antonio Araujo Leite, Tae Mo Chung, Wladimir Bocca, Jano Alves De Souza, Olivia Gameiro De Souza, Rayele Priscila Moreira, Victor Hugo Bastos, Silmar Teixeira, Acary Bulle Oliveira, Bruno Da Silva Moraes, André Palma Matta, Luis Jorge Jacinto	2015	23	TRUE	2.2	0.448	B2	NA
Motriz: Revista de Educação Física	2014-12-18	2017-05-23	2014-12	10.1590/s1980-65742014000400011	2022-04-05	1980-6574	4	2014-12	530	442-447	10.1590	FapUNIFESP (SciELO)	1	Crossref	20	20	0	General Medicine,Health (social science)	Braking and propulsive impulses in individuals with patellofemoral pain syndrome when walking up and down stairs	journal-article	http://dx.doi.org/10.1590/s1980-65742014000400011	20	Motriz: rev. educ. fis.	NA	NA	NA	NA	NA	NA	Marcelo Camargo Saad, Renato Moraes, Lilian Ramiro Felicio, Débora Bevilaqua-Grossi	2014	0	TRUE	NA	0.223	B1	NA
Arquivos de Neuro-Psiquiatria	2018-07-27	2020-11-06	NA	10.1590/0004-282x20180062	2023-03-15	1678-4227,0004-282X	7	2018-07	530	481-489	10.1590	FapUNIFESP (SciELO)	1	Crossref	65	65	9	Neurology,Neurology (clinical)	Brazilian consensus on Duchenne muscular dystrophy. Part 2: rehabilitation and systemic care	journal-article	http://dx.doi.org/10.1590/0004-282x20180062	76	Arq. Neuro-Psiquiatr.	2018-07	NA	NA	NA	NA	NA	Alexandra P. Q. C. Araujo, Flavia Nardes, Clarisse P. D. D. Fortes, Jaqueline A. Pereira, Marcos F. Rebel, Cristina M. Dias, Rita de Cassia G. A. Barbosa, Mauro V. R. Lopes, Ana Lucia Langer, Flavio R. Neves, Edna Fátima Reis	2018	9	TRUE	2.1	0.391	B2	NA
Perceptual and Motor Skills	2018-04-10	2018-04-10	NA	10.1177/0031512518767755	2022-04-14	0031-5125,1558-688X	NA	2018-04-09	179	003151251876775	10.1177	SAGE Publications	1	Crossref	46	46	2	Sensory Systems,Experimental and Cognitive Psychology	Brazilian Portuguese Version of the Amputee Body Image Scale: Cultural Adaptation and a Psychometric Analysis	journal-article	http://dx.doi.org/10.1177/0031512518767755	NA	Percept Mot Skills	2018-04-09	en	http://dx.doi.org/10.1177/sage-journals-update-policy	NA	NA	NA	Lucilene Ferreira, Alinne G. M. Meregui, Miriam R. M. Mainenti, Patrícia S. Vigário, Angela N. Neves	2018	2	FALSE	2.8	0.465	B1	NA
Perceptual and Motor Skills	2018-04-10	2018-04-10	NA	10.1177/0031512518767755	2022-04-14	0031-5125,1558-688X	NA	2018-04-09	179	003151251876775	10.1177	SAGE Publications	1	Crossref	46	46	2	Sensory Systems,Experimental and Cognitive Psychology	Brazilian Portuguese Version of the Amputee Body Image Scale: Cultural Adaptation and a Psychometric Analysis	journal-article	http://dx.doi.org/10.1177/0031512518767755	NA	Percept Mot Skills	2018-04-09	en	http://dx.doi.org/10.1177/sage-journals-update-policy	NA	NA	NA	Lucilene Ferreira, Alinne G. M. Meregui, Miriam R. M. Mainenti, Patrícia S. Vigário, Angela N. Neves	2018	2	FALSE	2.8	0.465	B1	NA
Asian Journal of Sports Medicine	2020-04-19	2020-06-30	NA	10.5812/asjsm.101400	2022-04-01	2008-000X,2008-7209	2	2020-04-19	3819	NA	10.5812	Kowsar Medical Institute	1	Crossref	38	38	4	Orthopedics and Sports Medicine	Cardiac Autonomic Control in Women with Rheumatoid Arthritis During the Glittre Activities of Daily Living Test	journal-article	http://dx.doi.org/10.5812/asjsm.101400	11	Asian J Sports Med	2020-04-19	NA	http://dx.doi.org/10.5812/crossmark_update_policy	NA	NA	NA	Antonio Beira de Andrade Junior, Arthur de Sá Ferreira, Ana Carolina Brandão Assis, Leila Paula Alves da Silva Nascimento, Christiane Fialho Ribeiro, Jannis Vasileios Papathanasiou, Agnaldo José Lopes	2020	4	TRUE	1.0	0.183	B1	NA
Brazilian Journal of Medical and Biological Research	2012-02-12	2023-06-14	2012-03	10.1590/s0100-879x2012007500018	2023-06-14	0100-879X	3	2012-03	530	256-263	10.1590	FapUNIFESP (SciELO)	1	Crossref	26	26	16	Cell Biology,General Pharmacology, Toxicology and Pharmaceutics,General Medicine,Immunology,Physiology,Biochemistry,General Neuroscience,Biophysics	Cardiopulmonary exercise testing variables as predictors of long-term outcome in thoracic sarcoidosis	journal-article	http://dx.doi.org/10.1590/s0100-879x2012007500018	45	Braz J Med Biol Res	NA	NA	NA	NA	NA	NA	A.J. Lopes, S.L.S. Menezes, C.M. Dias, J.F. Oliveira, M.R.M. Mainenti, F.S. Guimarães	2012	16	TRUE	4.5	0.528	A3	NA
BioMedical Engineering OnLine	2020-12-09	2022-12-03	2020-12	10.1186/s12938-020-00836-6	2022-12-04	1475-925X	1	2020-12	297	NA	10.1186	Springer Science and Business Media LLC	1	Crossref	70	70	0	Radiology, Nuclear Medicine and imaging,Biomedical Engineering,General Medicine,Biomaterials,Radiological and Ultrasound Technology	Combined forced oscillation and fractional-order modeling in patients with work-related asthma: a case–control study analyzing respiratory biomechanics and diagnostic accuracy	journal-article	http://dx.doi.org/10.1186/s12938-020-00836-6	19	BioMed Eng OnLine	2020-12-09	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	Fábio Augusto d´Alegria Tuza, Paula Morisco de Sá, Hermano A. Castro, Agnaldo José Lopes, Pedro Lopes de Melo	2020	0	TRUE	7.0	0.663	A3	NA
Fisioterapia Brasil	2018-12-21	2022-12-01	NA	10.33233/fb.v18i5.1289	2023-02-10	2526-9747,1518-9740	5	2018-02-27	18483	598-607	10.33233	Convergences Editorial	1	Crossref	0	0	1	General Medicine	Comparação entre o método Reequilí­brio Toracoabdominal e a fisioterapia respiratória convencional em recém-nascidos com taquipneia transitória: um ensaio clí­nico randomizado	journal-article	http://dx.doi.org/10.33233/fb.v18i5.1289	18	Fisioter Bras	2018-02-27	NA	NA	NA	NA	NA	Miriana Carvalho De Oliveira, Cristina Ortiz Sobrinho, Marco Orsini	2018	1	TRUE	NA	NA	B2	NA
Journal of Physical Therapy Science	2014-06-29	2022-04-09	2014	10.1589/jpts.26.801	2022-12-16	0915-5287,2187-5626	6	2014	533	801-804	10.1589	Society of Physical Therapy Science	1	Crossref	18	18	4	Physical Therapy, Sports Therapy and Rehabilitation	Comparative Analysis Electroencephalographic of Alpha, Beta and Gamma Bands of a Healthy Individual and One with Hemiparesis	journal-article	http://dx.doi.org/10.1589/jpts.26.801	26	J Phys Ther Sci	NA	en	NA	NA	NA	NA	Dionis de Castro Dutra Machado, Glenda Crispim Lima, Rodrigo Souza dos Santos, Amanda Júlia Bezerra Ramos, Cáio César Menezes de Sousa, Rayele Pricila Moreira dos Santos, Karyna Kelly Oliveira Coelho, Mauricio Cagy, Marco Orsini, Victor Hugo Bastos	2014	4	TRUE	NA	NA	C	NA
