journal	created	deposited	published.print	doi	indexed	issn	issue	issued	member	page	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	abstract	short.container.title	published.online	language	update.policy	subtitle	archive_	na.	archive	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis
Journal of Bodywork and Movement Therapies	2021-03-07	2023-03-29	2021-07	10.1016/j.jbmt.2021.02.026	2023-03-29	1360-8592	NA	2021-07	78	233-238	10.1016	Elsevier BV	1	Crossref	32	32	0	Complementary and alternative medicine,Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation,Complementary and Manual Therapy	Acute effect of different duration times of application of myofascial release on quadriceps femoris strength: A randomized clinical trial	journal-article	http://dx.doi.org/10.1016/j.jbmt.2021.02.026	27	NA	Journal of Bodywork and Movement Therapies	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Tamires Cristina Campos de Almeida, Vanessa Paes, Maurício Soares, Guilherme de Freitas Fonseca, Maicom Lima, Júlio Guilherme Silva	2021	0	FALSE	2.5	0,404	A2
Revista Dor	2017-03-13	2017-03-13	2017	10.5935/1806-0013.20170018	2022-04-03	1806-0013	1	2017	3948	NA	10.5935	GN1 Sistemas e Publicacoes Ltd.	1	Crossref	0	0	0	Insect Science,Ecology,Ecology, Evolution, Behavior and Systematics	Acute effect of Kinesio Taping on knee pain and stability. Case report	journal-article	http://dx.doi.org/10.5935/1806-0013.20170018	18	NA	NA	NA	en	NA	NA	NA	NA	NA	Alexsandro da Silva Oliveira, Débora Pedroza Guedes da Silva, Júlio Guilherme Silva	2017	0	TRUE	NA	NA	A3
Journal of Physical Therapy Science	2016-06-23	2019-09-09	2016	10.1589/jpts.28.1720	2022-04-02	0915-5287,2187-5626	6	2016	533	1720-1723	10.1589	Society of Physical Therapy Science	1	Crossref	37	37	6	Physical Therapy, Sports Therapy and Rehabilitation	Acute effects of neural mobilization and infrared on the mechanics of the median nerve	journal-article	http://dx.doi.org/10.1589/jpts.28.1720	28	NA	J Phys Ther Sci	NA	en	NA	NA	NA	NA	NA	Monara Kedma Nunes, Gabrielly Fontenele dos Santos, Diandra Caroline Martins e Silva, Ana Cláudia Mota de Freitas, Isadora Ferreira Henriques, Peterson Marco Andrade, Dionis de Castro Machado, Silmar Teixeira, Marco Orsini Neves, Gildário Dias, Fernando Silva-Júnior, Victor Hugo Bastos	2016	6	TRUE	NA	NA	C
International Journal of Sports Medicine	2016-08-23	2017-05-22	NA	10.1055/s-0042-104197	2023-06-07	0172-4622,1439-3964	11	2016-08-23	194	855-862	10.1055	Georg Thieme Verlag KG	1	Crossref	0	0	14	Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation	Acute Hypotensive Response to Continuous and Accumulated Isocaloric Aerobic Bouts	journal-article	http://dx.doi.org/10.1055/s-0042-104197	37	NA	Int J Sports Med	2016-08-23	en	NA	NA	NA	NA	NA	F. Cunha, A. Midgley, L. Pescatello, P. Soares, P. Farinatti	2016	14	TRUE	5.4	0,965	A2
Medicina Sportiva	2014-03-21	2017-06-14	2014-03-20	10.5604/17342260.1094790	2023-02-11	1734-2260	1	2014-03-20	3689	36-41	10.5604	Index Copernicus	1	Crossref	0	0	3	NA	ACUTE RESPONSES OF RATE PRESSURE PRODUCT IN SETS OF RESISTANCE EXERCISE	journal-article	http://dx.doi.org/10.5604/17342260.1094790	18	NA	Med Sport	NA	NA	NA	NA	NA	NA	NA	Alex Souto Maior, Pedro L. Katayama, Gustavo R. Mota, André A. Lauria, Octávio Barbosa Neto, Daniel G. S. Freitas, Moacir Marocolo	2014	3	FALSE	NA	NA	NA
Respiratory Physiology &amp; Neurobiology	2013-12-12	2022-03-19	2014-02	10.1016/j.resp.2013.12.004	2022-11-18	1569-9048	NA	2014-02	78	39-47	10.1016	Elsevier BV	1	Crossref	59	59	25	Pulmonary and Respiratory Medicine,Physiology,General Neuroscience	Airflow pattern complexity during resting breathing in patients with COPD: Effect of airway obstruction	journal-article	http://dx.doi.org/10.1016/j.resp.2013.12.004	192	NA	Respiratory Physiology &amp; Neurobiology	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Karla Kristine Dames, Agnaldo José Lopes, Pedro Lopes de Melo	2014	25	FALSE	4.7	0,607	A4
Baltic Journal of Health and Physical Activity	2022-07-07	2022-07-07	NA	10.29359/bjhpa.14.2.06	2022-07-08	2080-9999	2	2022-06-30	11905	Article6	10.29359	Gdansk University of Physical Education and Sport	1	Crossref	0	0	0	General Medicine	An assessment of isometric muscle strength and the hamstring: Quadriceps ratio among males trained with free weights vs. machines	journal-article	http://dx.doi.org/10.29359/bjhpa.14.2.06	14	<jats:p>Introduction. The purpose of this study was to assess the isometric muscle strength (IMS) of the knee extensors and flexors, bilateral asymmetry (BA) and the hamstring: quadriceps ratio (H:Q ratio) between the dominant leg (DL) vs. the non-dominant leg (NDL) of males trained with free-weights vs. machines. Material and Methods: Thirty males were recruited and separated into two groups: Free-weights (n = 15) and Machines (n = 15) groups. All study participants performed the IMS testing for knee extensors and flexors in the DL and NDL using a commercially available load cell. The highest value obtained from the three trials was used for statistical analysis. Results: The IMS of the quadriceps and hamstring muscles for DL and NDL showed a significant increase in the Free-weight group when compared to the Machine group. In addition, a significant difference (p &lt;.03) in the IMS of hamstring muscles between DL vs. NDL was observed in the Machine group. The H:Q ratio on DL (p &lt; .002) and NDL (p &lt; .01) was significantly higher in the Free-weight group. Conclusion: This study showed better isometric muscle strength of the thigh (hamstring and quadriceps) and the H:Q ratio in males trained with free weights. In addition, males trained with machines showed a bilateral asymmetry of the hamstring muscles and a lower H:Q ratio – consequently, a higher risk of knee injuries.</jats:p>	BJHPA	2022-06-30	NA	NA	NA	NA	NA	NA	Geferson Honorato Da Silva, Alex Souto Maior	2022	0	TRUE	1.2	NA	NA
Revista Brasileira de Educação Física e Esporte	2021-06-05	2021-06-05	NA	10.11606/1807-5509202000020283	2022-04-02	1981-4690,1807-5509	2	2020-06-21	4873	283-293	10.11606	Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)	1	Crossref	0	0	0	General Medicine	Análise cinemática dos membros superiores em atletas de Rugby em cadeira de rodas:	journal-article	http://dx.doi.org/10.11606/1807-5509202000020283	34	<jats:p>O objetivo do presente estudo foi identificar o comportamento cinemático dos membros superiores (MMSS) de atletas de Rugby em Cadeira de Rodas (RCR) durante a tarefa de propulsão na cadeira de rodas. Neste estudo seccional foi realizada uma análise cinemática bidimensional dos MMSS de 19 atletas de RCR (idade = 31,5 ± 5,6), durante o teste de velocidade de 20 metros (VEL). Foram considerados os seguintes parâmetros: ângulos articulares, classe funcional e o questionário Wheelchair User’s Shoulder Pain Index (WUSPI). A análise dos dados foi realizada com extração de valor de tendência central (média) e valor de dispersão (desvio padrão). As correlações foram verificadas pelo coeficiente de correlação de Spearman e Pearson. As variáveis cinemáticas analisadas estão descritas a seguir: ângulo de impulsão (89,7° ± 18,9), impulsão inicial (31° ± 10,4), impulsão final (66° ± 9,6), ângulo de contato (97,1° ± 3,8), flexão de cotovelo (94,2° ± 13,3), extensão de ombro (66,6° ± 10,6), VEL (7,7s± 2,3) e ciclos de propulsão (16,1 ± 1,4).  Foi observado uma correlação significativa entre a Classificação Funcional (CF) e o VEL (rho = -0,70, p &lt; 0,05), assim como entre o tempo de prática de RCR com o VEL (rho = 0,54, p &lt; 0,05). No que diz respeito à identificação do grau de função dos MMSS, os atletas apresentaram boa funcionalidade com uma pontuação média no WUSPI de 17,8 ± 8 pontos. Os atletas de RCR apresentaram um padrão cinemático com poucas variações espaço-temporais. Entretanto, foi possível observar que alguns atletas tiveram melhor desempenho no teste de velocidade, principalmente os atletas com maior tempo de prática de RCR e com CF mais alta.</jats:p>	Rev Bras Educ Fís Esporte	2020-06-21	NA	NA	estudo observacional	NA	NA	NA	Alexsandro da Silva Oliveira, Diego Ramirez, Luiz Alberto Batista, Patrícia dos Santos Vigário, Julio Guilherme Silva	2020	0	TRUE	NA	NA	B2
Arquivos Brasileiros de Endocrinologia &amp; Metabologia	2014-05-22	2017-05-27	2014-04	10.1590/0004-2730000002580	2022-06-23	0004-2730	3	2014-04	530	226-231	10.1590	FapUNIFESP (SciELO)	1	Crossref	29	29	8	General Medicine,Endocrinology, Diabetes and Metabolism	Análise de idosos ambulatoriais quanto ao estado nutricional, sarcopenia, função renal e densidade óssea	journal-article	http://dx.doi.org/10.1590/0004-2730000002580	58	<jats:p>Objetivo : Avaliar relações entre estado nutricional, sarcopenia e osteoporose em idosas.Sujeitos e métodos : Estudamos 44 mulheres, 67-94 anos, mediante miniavaliação nutricional (MAN), filtração glomerular (FG) corr. 1,73 m2, índice de massa corporal (IMC), circunferência da panturrilha e braquial (CP e CB), densidade mineral óssea e composição corporal, DXA (massa gorda – MG; massa magra – MM). Aferimos sarcopenia: IMM = MM MSS + MIS/altura2. Utilizamos o coeficiente de correlação de Pearson, e p &lt; 0,05 como significativo.Resultados : MNA e IMM se correlacionaram positivamente com IMC, CP, CB e MG. A idade influenciou negativamente FG corr., IMC, MG, IMM e CP. Quatorze tinham história de fraturas osteoporóticas. O mais baixo T-score foi diretamente relacionado a MAN e MG.Conclusões  : O envelhecimento acarretou o declínio da FG, MG e massa muscular; a circunferência da panturrilha e braquial refletiu estado nutricional e composição corporal; e as grandes influências na DMO foram estado nutricional e MG. Arq Bras Endocrinol Metab. 2014;58(3):226-31</jats:p>	Arq Bras Endocrinol Metab	NA	NA	NA	NA	NA	NA	NA	Franciany Viana Salmaso, Patrícia dos Santos Vigário, Laura Maria Carvalho de Mendonça, Miguel Madeira, Leonardo Vieira Netto, Marcela Rodrigues Moreira Guimarães, Maria Lucia Fleiuss de Farias	2014	8	TRUE	NA	NA	B2
Brazilian Journal of Physical Therapy	2014-04-01	2016-12-15	NA	10.1590/s1413-35552013005000097	2022-04-05	1413-3555	4	2013-08-01	530	328-335	10.1590	FapUNIFESP (SciELO)	1	Crossref	0	0	5	Rehabilitation,Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation	Analysis of the user satisfaction level in a public physical therapy service	journal-article	http://dx.doi.org/10.1590/s1413-35552013005000097	17	NA	Braz. J. Phys. Ther.	2013-08-01	en	NA	NA	NA	NA	NA	Renato S. Almeida, Leandro A. C. Nogueira, Stéphane Bourliataux-Lajoine	2013	5	TRUE	6.4	0,975	A2
JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH	2016-10-06	2016-10-06	NA	10.7860/jcdr/2016/21846.8503	2022-04-06	2249-782X	NA	2016	4601	NA	10.7860	JCDR Research and Publications	1	Crossref	0	0	1	Clinical Biochemistry,General Medicine	Anatomical and Radiological Aspects of the Supratrochlear Foramen in Brazilians	journal-article	http://dx.doi.org/10.7860/jcdr/2016/21846.8503	NA	NA	JCDR	2016	NA	NA	NA	NA	NA	NA	Carlos AA Chagas	2016	1	TRUE	NA	NA	B3
Neurology International	2015-12-31	2020-10-27	NA	10.4081/ni.2015.5952	2022-03-30	2035-8377,2035-8385	3	2015-12-29	1968	NA	10.3390	MDPI AG	1	Crossref	0	0	2	Neurology (clinical)	Anthropometry of arm: nutritional risk indicator in amyotrophic lateral sclerosis	journal-article	http://dx.doi.org/10.4081/ni.2015.5952	7	<jats:p>The aim of the paper is to examine the correlation between clinical data, nutritional, respiratory and functional parameters in amyotrophic lateral sclerosis (ALS). This is a descriptive study of 111 ALS patients [91 spinal onset (GS) and 20 bulbar onset (GB)] carried on using nutritional and respiratory parameters and amyotrophic lateral sclerosis functional rating scale (ALSFRS). ALSFRS was analyzed in the main domains (D1, D2 and D3). Forced vital capacity and anthropometric measurements, there was significant association for GS and GB, and in GS there was positive correlation with midarm circumference (MAC) (r=0.30; P=0.020), midarm muscle circumference (r=0.29; P=0.026), arm muscle area (r=0.28; P=0.033) and protein-caloric malnutrition score (r=0.27; P=0.039), while for GB only with body weight (r=0.64; P=0.024). On correlation of nutritional parameters and ALSFRS for GS patients we observed that MAC and %MAC presented positive association with both issues of D1 and D2. For GB, the total score in addition to correlate positively with anthropometric parameters related to lean body mass also presented negative association with a parameter associated with body fat. In summary, it is suggested that the application of anthropometry of arm could be useful in routine monitoring of ALS patients.</jats:p>	Neurol Int	2015-12-29	NA	NA	NA	NA	NA	NA	Cristina Cleide dos Santos Salvioni, Patricia Stanich, Acary Souza Bulle Oliveira, Marco Orsini	2015	2	TRUE	2.2	0,448	B2
Asian Journal of Sports Medicine	2018-11-28	2023-01-15	NA	10.5812/asjsm.82017	2023-01-16	2008-000X,2008-7209	4	2018-11-28	3819	NA	10.5812	Briefland	1	Crossref	53	53	1	Orthopedics and Sports Medicine	Applicability of the Kinect Sensor in the Rehabilitation of Balance Control in the Elderly: A Pilot Study	journal-article	http://dx.doi.org/10.5812/asjsm.82017	9	NA	Asian J Sports Med	2018-11-28	NA	http://dx.doi.org/10.5812/crossmark_update_policy	NA	NA	NA	NA	Hebert Olímpio Junior, Danielle Romanazzi Lopes, Juan Fernandes de Castro, Plínio dos Santos Ramos, André Gustavo Fernandes de Oliveira, Agnaldo José Lopes	2018	1	TRUE	1.0	0,183	B1
Revista Brasileira de Fisiologia do exerc&amp;iacute cio	2021-11-30	2022-12-05	NA	10.33233/rbfex.v20i5.4824	2022-12-06	2675-1372,1677-8510	5	2021-12-07	18483	542-551	10.33233	Convergences Editorial	1	Crossref	0	0	0	General Medicine	Aptidão cardiorrespiratória durante o teste cardiopulmonar de esforço de indivíduos com amputação unilateral de membro inferior	journal-article	http://dx.doi.org/10.33233/rbfex.v20i5.4824	20	<jats:p>Introdução: A amputação de membros inferiores impacta na mobilidade dos indivíduos, podendo levar a uma baixa aptidão cardiorrespiratória. O consumo máximo de oxigênio (VO2máx) é tradicionalmente utilizado para descrever a aptidão cardiorrespiratória. Contudo, a sua obtenção nem sempre é viável em populações com limitações funcionais e, por isso, análises em níveis submáximos de esforço podem ser uma estratégia eficiente. Objetivo: Testar a hipótese de que indivíduos com amputação unilateral de membro inferior possuem aptidão cardiorrespiratória menor em diferentes intensidades de esforço comparados a indivíduos sem amputação. Métodos: Estudo seccional com 6 indivíduos com amputação de membro inferior e 10 indivíduos sem amputação. A aptidão cardiorrespiratória foi investigada pelo teste de esforço cardiopulmonar, sendo considerados: VO2pico absoluto e relativo, limiar ventilatório 1 (LV1) e Ponto Ótimo Cardiorrespiratório (POC). Resultados: Os indivíduos amputados apresentaram menor VO2pico absoluto e relativo que os não amputados. O valor absoluto do POC, o tempo e a carga, não se diferiram entre os grupos, porém o grupo com amputação apresentou o POC em um maior percentual do VO2pico (p = 0,007) e em um menor VO2 relativo e absoluto (p = 0,004 e p = 0,009, respectivamente). No LV1, não houve diferença entre os grupos no tempo, carga e percentual do VO2pico, contudo os amputados apresentaram menor VO2 relativo e absoluto (p = 0,046 e p = 0,032, respectivamente). Conclusão: Indivíduos com amputação de membro inferior apresentaram menor aptidão cardiorrespiratória em diferentes intensidades de esforço quando comparados com indivíduos sem amputação, porém apresentaram a maior eficiência entre os sistemas respiratório e circulatório em um maior %VO2pico.
 </jats:p>	Rev Bras Fisiol Exerc	2021-12-07	NA	NA	NA	NA	NA	NA	Roberto Miranda Ramos Costa, Patrícia Marques Aroso Lisboa de Castro, Mauro Augusto dos Santos, Míriam Raquel Meira Mainenti, Agnaldo José Lopes, Patrícia dos Santos Vigário	2021	0	TRUE	NA	NA	B2
Revista Brasileira de Ciência e Movimento	2023-03-24	2023-03-24	NA	10.31501/rbcm.v30i1.12858	2023-03-25	0103-1716	1	2022-04-18	16587	NA	10.31501	Universidade Catolica de Brasilia	1	Crossref	0	0	0	Media Technology	ARE CRANIOCERVICAL FLEXION TEST AND THE PECTORALIS MINOR INDEX USEFUL TESTS FOR PATIENTS WITH SUBACROMIAL PAIN SYNDROME?	journal-article	http://dx.doi.org/10.31501/rbcm.v30i1.12858	30	<jats:p>Cervical disorders and the shortening of the pectoralis minor are advocated to play an important role in patients with subacromial pain syndrome, despite the absence of evidence. This study aimed to compare the deep cervical flexor muscle function and the shortening of the pectoralis minor between patients with subacromial pain syndrome and controls. Secondarily, this study aimed to analyze the relationship of clinical tests with pain and disability among patients. This is a case-control study with 32 patients with subacromial pain syndrome [mean age: 33 ± 6.9 years; sex: 22 (65.6%) men; right dominance: 31 (96.9%)] and 32 controls matched for age, sex, handedness, and affected side. Participants filled the Numerical Pain Rating Scale, the Shoulder Pain and Disability Index; and performed the clinical tests which were compared between patients and controls. Pectoralis minor length of the patient’s group (median = 9.0) was similar to the controls (median = 9.7) (U = 421.5; p = 0.22). The deep neck muscle function presented no statistical difference between patients and controls (?2 = 4.319; p = 0.504). There was no statistically significant correlation between clinical tests and patient self-reported measures. Therefore, deep cervical flexor muscle and the pectoralis minor muscle were not impaired in patients with subacromial pain syndrome and did not show a relationship with self-reported measures.</jats:p>	R. Bras. Ci. e Mov.	2022-04-18	NA	NA	NA	NA	NA	NA	Bruno Senos Queiroz Gomes, Leticia Amaral Corrêa, Juliana Valentim Bittencourt, Ney Armando Meziat-Filho, Julio Guilherme Silva, Leandro Alberto Calazans Nogueira	2022	0	TRUE	NA	NA	B2
