title	doi	url	issns	journal	authors	issns1	issns2	published_on	last_updated	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_gplus_count	cited_by_msm_count	cited_by_posts_count	cited_by_rdts_count	cited_by_tweeters_count	cited_by_videos_count	cited_by_accounts_count	cited_by_patents_count	mendeley	altmetric_score	is_oa	author.names	issn	citations	CiteScore	SJR	WebQualis
Acute Hormone Responses Subsequent to Agonist-Antagonist Paired Set vs. Traditional Straight Set Resistance Training	10.1519/jsc.0000000000002633	http://dx.doi.org/10.1519/jsc.0000000000002633	1064-8011	Journal of Strength & Conditioning Research	Humberto Miranda			2020	1677534033	0	0	0	0	7	0	5	1	6	0	80	3	FALSE	Humberto Miranda, João Antônio A.A. de Souza, Estevão Scudese, Gabriel A. Paz, Verônica P. Salerno, Patrícia dos Santos Vigário, Jeffrey M. Willardson	1064-8011	4	6.8	1.3	A2
Advanced Role and Field of Competence of the Physical and Rehabilitation Medicine Specialist in Contemporary Cardiac Rehabilitation	10.1016/s1109-9666(16)30013-6	http://dx.doi.org/10.1016/s1109-9666(16)30013-6	1109-9666	Hellenic journal of cardiology HJC Hellēnikē kardiologikē epitheōrēsē	Jannis Papathanasiou			2016	1646740690	0	0	0	0	1	0	1	0	1	0	36	1	TRUE	Jannis Papathanasiou, Troicho Troev, Arthur S. Ferreira, Dorothea Tsekoura, Harieta Elkova, Elias Kyriopoulos, Elena Ilieva	1109-9666	17	5.8	0.531	A3
Advances in spirometry testing for lung function analysis	10.1080/17476348.2019.1607301	http://dx.doi.org/10.1080/17476348.2019.1607301	1747-6348	Expert Review of Respiratory Medicine	Agnaldo José Lopes			2019	1556228563	0	0	0	0	4	0	4	0	4	0	75	2	FALSE	Agnaldo José Lopes	1747-6348	10	6.4	1	A3
Age of independent sitting posture acquisition for children with myelomeningocele	10.1016/j.jns.2015.08.685	http://dx.doi.org/10.1016/j.jns.2015.08.685	0022-510X	Journal of the Neurological Sciences	M.R.C. Sá			2015	1648033978	0	0	0	0	1	0	1	0	1	0	17	1	TRUE	M.R.C. Sá, C.T. Ribeiro, F.G. Fracho, A.S. Ferreira, M. Xavier, V. Guedes, M.F. Cunha, R. Custódio, A.C.A.F. Ferreira, M. Orsini	0022-510X	0	6.5	0.983	A3
Agreement and predictive performance of fall risk assessment methods and factors associated with falls in hospitalized older adults: A longitudinal study	10.1016/j.gerinurse.2022.11.016	http://dx.doi.org/10.1016/j.gerinurse.2022.11.016	0197-4572	Geriatric Nursing (04355733)	Sabrina de Oliveira Silva			2023	1670840550	0	0	0	0	5	0	4	0	4	0	5	3	FALSE	Sabrina de Oliveira Silva, Jessica Bandeira Barbosa, Thiago Lemos, Laura Alice Santos Oliveira, Arthur de Sá Ferreira	0197-4572	1	2.9	0.666	A2
Agreement and predictive power of six fall risk assessment methods in community-dwelling older adults	10.1016/j.archger.2019.103975	http://dx.doi.org/10.1016/j.archger.2019.103975	0167-4943	Archives of Gerontology & Geriatrics	Michele Menezes			2020	1643545482	0	0	0	0	4	0	2	0	2	0	55	1	FALSE	Michele Menezes, Ney Armando de Mello Meziat-Filho, Camila Santos Araújo, Thiago Lemos, Arthur Sá Ferreira	0167-4943	9	6.8	1.008	A1
Alinhamento articular de membros inferiores e controle postural em idosas	10.5007/1980-0037.2014v16n3p287	http://dx.doi.org/10.5007/1980-0037.2014v16n3p287	1980-0037	Revista Brasileira de Cineantropometria e Desempenho Humano	Míriam Raquel Meira Mainenti			2014	1649329467	0	0	0	0	4	0	4	0	4	0	5	3	TRUE	Míriam Raquel Meira Mainenti, Erika De Carvalho Rodrigues, Arthur De Sá Ferreira, Raíssa Christina Mendes de Sousa, Dalila Terrinha Ribeiro da Silva	1980-0037	2	1.3	0.222	B1
AMBIENTE DE TRABALHO SEGURO E SUSTENTÁVEL: COMO A ERGONOMIA DE CONSCIENTIZAÇÃO E PARTICIPATIVA SE APLICA AOS SERVIDORES PÚBLICOS?	10.25110/arqsaude.v27i1.2023.9145	http://dx.doi.org/10.25110/arqsaude.v27i1.2023.9145	1982-114X	Arquivos de Ciências da Saúde da UNIPAR	Jacqueline de Assis Cunha			2023	1676343775	0	0	0	0	2	0	2	0	2	0	2	2	TRUE	Jacqueline de Assis Cunha, Matheus Mello Silva, Cynthia Mara Zilli Casagrande, Arthur de Sá Ferreira	1982-114X	0	NA	NA	B1
Amyotrophic lateral sclerosis: new perpectives and update	10.4081/ni.2015.5885	http://dx.doi.org/10.4081/ni.2015.5885	2035-8377	Neurology International	Marco Orsini			2015	1445642429	0	0	0	1	4	0	3	0	4	0	179	11	TRUE	Marco Orsini, Acary Bulle Oliveira, Osvaldo J.M. Nascimento, Carlos Henrique Melo Reis, Marco Antonio Araujo Leite, Jano Alves De Souza, Camila Pupe, Olivia Gameiro De Souza, Victor Hugo Bastos, Marcos R.G. De Freitas, Silmar Teixeira, Carlos Bruno, Eduardo Davidovich, Benny Smidt	2035-8377	42	2.2	0.448	B2
An explanatory model of functional exercise capacity in patients with systemic sclerosis: considerations for rehabilitation programs	10.1589/jpts.28.569	http://dx.doi.org/10.1589/jpts.28.569	0915-5287	Journal of Physical Therapy Science	Agnaldo José Lopes			2016	1647082225	0	0	0	0	2	0	2	0	2	0	42	2	TRUE	Agnaldo José Lopes, Arthur de Sá Ferreira, Tatiana Rafaela Lemos Lima, Sara Lucia Silveira Menezes, Fernando Silva Guimarães	0915-5287	3	NA	NA	C
Analysis of the postural stabilization in the upright stance using optimization properties	10.1016/j.bspc.2019.04.009	http://dx.doi.org/10.1016/j.bspc.2019.04.009	1746-8094	Biomedical Signal Processing and Control	Carla Porto			2019	1644055991	0	0	0	0	2	0	1	0	1	0	12	1	FALSE	Carla Porto, Thiago Lemos, Arthur Sá Ferreira	1746-8094	3	8.2	1.071	A1
Anterior component of Y‐Balance test is correlated to ankle dorsiflexion range of motion in futsal players: A cross‐sectional study	10.1002/pri.2028	http://dx.doi.org/10.1002/pri.2028	1358-2267	Physiotherapy Research International	Camilo Zumbi Rafagnin			2023	1686920766	0	0	0	0	1	0	1	0	1	0	0	1	FALSE	Camilo Zumbi Rafagnin, Arthur de Sá Ferreira, Gustavo Felicio Telles, Thiago Lemos de Carvalho, Dângelo José de Andrade Alexandre, Leandro Alberto Calazans Nogueira	1358-2267	0	3.4	0.531	A4
Are group-based high-intensity aerobic interval training modalities the future of the cardiac rehabilitation?	10.1016/j.hjc.2019.10.015	http://dx.doi.org/10.1016/j.hjc.2019.10.015	1109-9666	Hellenic journal of cardiology HJC Hellēnikē kardiologikē epitheōrēsē	Jannis Papathanasiou			2020	1643625395	0	0	0	0	2	0	1	0	1	0	21	1	TRUE	Jannis Papathanasiou, Donka Dimitrova, Nigyar Dzhafer, Kostadin Kanalev, Yannis Dionyssiotis, Arthur Sa Ferreira, Fernando Silva Guimarães, Agnaldo José Lopes, Dorothea Tsekoura	1109-9666	3	5.8	0.531	A3
As diferentes manifestações da heminegligência e sua avaliação clí­nica	10.33233/fb.v19i2.2314	http://dx.doi.org/10.33233/fb.v19i2.2314	2526-9747	Fisioterapia Brasil	Manuel Leite Lopes			2018	1604257045	0	0	0	0	1	0	0	0	1	0	11	3	FALSE	Manuel Leite Lopes, Mauricio De Sant Anna Jr, Hebert Pereira Ferreira, Rossano Fiorelli, Victor Hugo Bastos, Marco Orsini, Charles André	2526-9747	0	NA	NA	B2
Asserted and neglected issues linking evidence-based and Chinese medicines for cardiac rehabilitation	10.4330/wjc.v6.i5.295	http://dx.doi.org/10.4330/wjc.v6.i5.295	1949-8462	World Journal of Cardiology	Arthur de Sá Ferreira			2014	1649850358	0	0	0	0	1	0	1	0	1	0	24	1	TRUE	Arthur de Sá Ferreira, Nathalia Gomes Ribeiro de Moura	1949-8462	3	1.9	0.415	C
Assessment of energy expenditure in individuals with post-poliomyelitis syndrome	10.1590/0004-282x20170013	http://dx.doi.org/10.1590/0004-282x20170013	0004-282X	Arquivos de Neuro-Psiquiatria	Roberto Dias Batista Pereira			2017	1490795040	1	0	0	0	2	0	1	0	2	0	27	1	TRUE	Roberto Dias Batista Pereira, Tatiana Mesquita e Silva, Abrahão Augusto Juviniano Quadros, Marco Orsini, Beny Schmidt, Helga Cristina Almeida Silva, Acary Souza Bulle Oliveira	0004-282X	0	2.1	0.391	B2
Assessment of Functional Capacity in Patients with Nondialysis-Dependent Chronic Kidney Disease with the Glittre Activities of Daily Living Test	10.3390/healthcare11121809	http://dx.doi.org/10.3390/healthcare11121809	2227-9032	Healthcare	Mauro Ribeiro Balata			2023	1687271458	0	0	0	0	1	0	1	0	1	0	1	1	TRUE	Mauro Ribeiro Balata, Arthur Sá Ferreira, Ariane da Silva Sousa, Laura Felipe Meinertz, Luciana Milhomem de Sá, Vinicius Guterres Araujo, Jannis Papathanasiou, Agnaldo José Lopes	2227-9032	0	4.9	0.55	A3
Assessment of short- and long-term functionality and quality of life in patients with post-acute COVID-19 syndrome	10.3233/bmr-220308	http://dx.doi.org/10.3233/bmr-220308	1878-6324	Journal of Back & Musculoskeletal Rehabilitation	João Eduardo de Azevedo Vieira			2023	1676591792	0	1	0	0	7	0	3	0	4	0	12	10	TRUE	João Eduardo de Azevedo Vieira, Thiago Thomaz Mafort, Laura Braga Monnerat, Mariana Soares da Cal, Angelo Thomaz Abalada Ghetti, Agnaldo José Lopes	1878-6324	0	NA	0.421	NA
Associação entre postura, função pulmonar e capacidade funcional na fibrose quística	10.1016/j.rppneu.2012.07.001	http://dx.doi.org/10.1016/j.rppneu.2012.07.001	0873-2159	Revista Portuguesa de Pneumologia	J.T.S. Penafortes			2013	1354363801	0	0	0	0	1	0	1	0	1	0	29	1	TRUE	J.T.S. Penafortes, F.S. Guimarães, V.J.R. Moço, V.P. Almeida, R.F. Dias, A.J. Lopes	0873-2159	14	NA	NA	B2
Association among body composition, muscle performance and functional autonomy in older adults	10.1590/0103-5150.028.001.ao05	http://dx.doi.org/10.1590/0103-5150.028.001.ao05	0103-5150	Fisioterapia em Movimento	Bruno Lucas Gonçalves			2015	1647947027	0	0	0	0	1	0	1	0	1	0	26	1	TRUE	Bruno Lucas Gonçalves, Fernando Silva Guimarães, Marcel Lima Lessa de Souza, Arthur de Sá Ferreira, Míriam Raquel Meira Mainenti	0103-5150	1	0.3	NA	B1
Association between home posture habits and low back pain in high school adolescents	10.1007/s00586-014-3571-9	http://dx.doi.org/10.1007/s00586-014-3571-9	0940-6719	European Spine Journal	Ney Meziat Filho			2014	1686924909	5	0	0	0	12	0	6	1	12	0	150	6	FALSE	Ney Meziat Filho, Evandro Silva Coutinho, Gulnar Azevedo e Silva	0940-6719	40	4.7	0.942	A1
Association between home posture habits and neck pain in High School adolescents	10.3233/bmr-150339	http://dx.doi.org/10.3233/bmr-150339	1053-8127	Journal of Back & Musculoskeletal Rehabilitation	Ney Meziat-Filho			2017	1569456801	0	0	0	0	4	0	4	0	4	0	114	4	FALSE	Ney Meziat-Filho, Gulnar Azevedo e Silva, Evandro Silva Coutinho, Roberta Mendonça, Vivian Santos	1053-8127	9	2.4	0.421	A4
Association between knee-to-hip flexion ratio during single-leg vertical landings, and strength and range of motion in professional soccer players	10.1080/14763141.2018.1494207	http://dx.doi.org/10.1080/14763141.2018.1494207	1476-3141	Sports Biomechanics	Gustavo Leporace			2018	1642664583	0	0	0	0	8	0	6	0	6	0	83	3	FALSE	Gustavo Leporace, Marcio Tannure, Gabriel Zeitoune, Leonardo Metsavaht, Moacir Marocolo, Alex Souto Maior	1476-3141	2	5.1	0.689	A3
Association Between Low Back Pain and Biomedical Beliefs in Academics of Physiotherapy	10.1097/brs.0000000000003487	http://dx.doi.org/10.1097/brs.0000000000003487	0362-2436	Spine	Aline Souza Gomes			2020	1642807320	0	0	0	0	16	0	9	0	9	0	36	5	FALSE	Aline Souza Gomes, Arthur de Sá Ferreira, Felipe José Jandre Reis, Fabianna Resende de Jesus-Moraleida, Leandro Alberto Calazans Nogueira, Ney Meziat-Filho	0362-2436	4	5.7	1.197	A1
Association between pain drawing and psychological factors in musculoskeletal chronic pain: A systematic review	10.1080/09593985.2018.1455122	http://dx.doi.org/10.1080/09593985.2018.1455122	0959-3985	Physiotherapy Theory & Practice	Felipe Reis			2018	1567345969	0	0	0	0	27	0	22	0	22	0	193	13	FALSE	Felipe Reis, Fernanda Guimarães, Leandro Calazans Nogueira, Ney Meziat-Filho, Tiago A. Sanchez, Timothy Wideman	0959-3985	32	3.1	0.499	A4
Association Between Text Neck and Neck Pain in Adults	10.1097/brs.0000000000003854	http://dx.doi.org/10.1097/brs.0000000000003854	0362-2436	Spine	Igor Macedo Tavares Correia			2020	1681491611	4	1	0	6	251	0	177	5	193	0	97	175	FALSE	Igor Macedo Tavares Correia, Arthur de Sá Ferreira, Jessica Fernandez, Felipe José Jandre Reis, Leandro Alberto Calazans Nogueira, Ney Meziat-Filho	0362-2436	12	5.7	1.197	A1
Association of Functional Characteristics and Physiotherapy with COVID-19 Mortality in Intensive Care Unit in Inpatients with Cardiovascular Diseases	10.3390/medicina58060823	http://dx.doi.org/10.3390/medicina58060823	1648-9144	Medicina (MDPI)	Chiara Andrade Silva			2022	1671364988	0	0	0	0	5	0	3	0	4	0	26	3	TRUE	Chiara Andrade Silva, Agnaldo José Lopes, Jannis Papathanasiou, Luis Felipe Fonseca Reis, Arthur Sá Ferreira	1648-9144	0	NA	0.59	NA
Association of Multiple Cardiovascular Risk Factors with Musculoskeletal Function in Acute Coronary Syndrome Ward Inpatients	10.3390/healthcare11070954	http://dx.doi.org/10.3390/healthcare11070954	2227-9032	Healthcare	Gabriel Parisotto			2023	1680022450	0	0	0	0	4	0	4	0	4	0	2	3	TRUE	Gabriel Parisotto, Luis Felipe Fonseca Reis, Mauricio Sant’Anna Junior, Jannis Papathanasiou, Agnaldo José Lopes, Arthur Sá Ferreira	2227-9032	0	4.9	0.55	A3
Athletes Motivation, Anxiety and Locus of Control at the Brazilian Powerchair Football National Championship	10.5507/euj.2021.011	http://dx.doi.org/10.5507/euj.2021.011	1803-3857	European Journal of Adapted Physical Activity	Angela Nogueira Neves			2022	1658619359	0	0	0	0	10	0	10	0	10	0	11	8	TRUE	Angela Nogueira Neves, Marcelo Callegari Zanetti, Joelson Guilherme de Almeida, Míriam Raquel Meira Mainenti, Patrícia dos Santos Vigário	1803-3857	0	1.6	0.306	B1
Avaliação da pressão inspiratória máxima em pacientes críticos não-cooperativos: comparação entre dois métodos	10.1590/s1413-35552007000300010	http://dx.doi.org/10.1590/s1413-35552007000300010	1413-3555	Brazilian Journal of Physical Therapy	FS Guimarães			2007	1682893368	0	0	0	0	1	0	1	0	1	0	15	1	TRUE	FS Guimarães, FF Alves, SS Constantino, CM Dias, SLS Menezes	1413-3555	3	6.4	0.975	A2
Balance control is impaired in adults with sickle cell anaemia	10.1080/08990220.2018.1481829	http://dx.doi.org/10.1080/08990220.2018.1481829	0899-0220	Somatosensory & Motor Research	Priscila Oliveira Silva			2018	1644922759	0	0	0	0	1	0	1	0	1	0	37	1	FALSE	Priscila Oliveira Silva, Arthur Sá Ferreira, Carla Martins de Araujo Lima, Fernando Silva Guimarães, Agnaldo José Lopes	0899-0220	2	NA	NA	B2
Balance Deficits are Correlated with Bronchial Obstruction Markers in Subjects with Asthma	10.1589/jpts.26.393	http://dx.doi.org/10.1589/jpts.26.393	0915-5287	Journal of Physical Therapy Science	Agnaldo José Lopes			2014	1484014925	0	0	0	0	3	0	3	0	3	0	41	3	TRUE	Agnaldo José Lopes, Vívian Pinto Almeida, Sara Lucia Silveira Menezes, Fernando Silva Guimarães	0915-5287	7	NA	NA	C
Balance Impairments after Brachial Plexus Injury as Assessed through Clinical and Posturographic Evaluation	10.3389/fnhum.2015.00715	http://dx.doi.org/10.3389/fnhum.2015.00715	1662-5161	Frontiers in Human Neuroscience	Lidiane Souza			2016	1453727629	0	0	0	0	1	0	1	0	1	0	44	1	TRUE	Lidiane Souza, Thiago Lemos, Débora C. Silva, José M. de Oliveira, José F. Guedes Corrêa, Paulo L. Tavares, Laura A. Oliveira, Erika C. Rodrigues, Claudia D. Vargas	1662-5161	9	4.4	0.787	A2
Basal and Resting Metabolic Rates of Physically Disabled Adult Subjects: A Systematic Review of Controlled Cross-Sectional Studies	10.1159/000365175	http://dx.doi.org/10.1159/000365175	0250-6807	Annals of Nutrition and Metabolism	Ainá Innocencio da Silva Gomes			2014	1433954184	1	0	0	0	1	0	0	0	1	0	36	1	TRUE	Ainá Innocencio da Silva Gomes, Patrícia dos Santos Vigário, Míriam Raquel Meira Mainenti, Marina de Figueiredo Ferreira, Beatriz Gonçalves Ribeiro, Eliane de Abreu Soares	0250-6807	3	7.6	0.849	A3
Beneficial Effects of Ischemic Preconditioning in Resistance Exercise Fade Over Time	10.1055/s-0042-109066	http://dx.doi.org/10.1055/s-0042-109066	0172-4622	International Journal of Sports Medicine	M. Marocolo			2016	1491906845	0	0	0	0	9	0	9	0	9	0	103	5	FALSE	M. Marocolo, I. Marocolo, G. da Mota, R. Simão, A. Maior, H.-J. Coriolano	0172-4622	33	5.4	0.965	A2
Benefits of Whole-Body Vibration, as a Component of the Pulmonary Rehabilitation, in Patients with Chronic Obstructive Pulmonary Disease: A Narrative Review with a Suitable Approach	10.1155/2016/2560710	http://dx.doi.org/10.1155/2016/2560710	1741-427X	Evidence-based Complementary & Alternative Medicine (eCAM)	Danubia Sá-Caputo			2016	1463777838	0	0	0	0	5	0	5	0	5	0	54	3	TRUE	Danubia Sá-Caputo, Cintia Renata Gonçalves, Danielle Soares Morel, Eloá Moreira Marconi, Patrícia Fróes, Rogério Rufino, Cláudia Henrique Costa, Agnaldo José Lopes, Adriano Arnóbio, Nasser Ribeiro Asad, Pedro Jesus Marin, Trentham Furness, Mario Bernardo-Filho	1741-427X	10	3.5	0.469	A3
Benign Paroxysmal Positional Vertigo: comparison of two recent international guidelines	10.1590/s1808-86942011000200009	http://dx.doi.org/10.1590/s1808-86942011000200009	1808-8686	Brazilian Journal of Otorhinolaryngology	André Luís dos Santos Silva			2011	1663788976	0	0	0	0	2	0	2	0	2	0	74	2	TRUE	André Luís dos Santos Silva, Marina Reis Campos Marinho, Fabiana Maria de Vasconcelos Gouveia, Julio Guilherme Silva, Arthur de Sá Ferreira, Renato Cal	1808-8686	11	NA	0.53	A3
Better work ability is associated with lower levels of both occupational stress and occupational physical activity in professional drivers: A cross-sectional study	10.1097/jom.0000000000002918	http://dx.doi.org/10.1097/jom.0000000000002918	1076-2752	Journal of Occupational & Environmental Medicine	Cynthia Mara Zilli Casagrande			2023	1690293066	0	0	0	0	6	0	6	0	6	0	0	4	FALSE	Cynthia Mara Zilli Casagrande, Jean Paulo Farias, Ney Armando de Mello Meziat Filho, Leandro Alberto Calazans Nogueira, Arthur de Sá Ferreira	1076-2752	0	3.4	0.741	A2
Beyond deficit or compensation: new insights on postural control after long-term total visual loss	10.1007/s00221-016-4799-x	http://dx.doi.org/10.1007/s00221-016-4799-x	0014-4819	Experimental Brain Research	Maitê M. Russo			2016	1477653752	0	0	0	0	1	0	1	0	1	0	37	1	FALSE	Maitê M. Russo, Thiago Lemos, Luís A. Imbiriba, Nathalia L. Ribeiro, Claudia D. Vargas	0014-4819	10	3.5	0.662	B1
Biopsychosocial approaches to telerehabilitation for chronic primary musculoskeletal pain: A real possibility for physical therapists, that is here to stay	10.1016/j.bjpt.2021.04.011	http://dx.doi.org/10.1016/j.bjpt.2021.04.011	1413-3555	Brazilian Journal of Physical Therapy	Jessica Fernandez			2022	1660262341	1	0	0	0	42	0	22	0	23	0	33	14	TRUE	Jessica Fernandez, Luciana Crepaldi Lunkes, Ney Meziat-Filho	1413-3555	0	6.4	0.975	A2
Body sway and movement strategies for control of postural stability in people with spinocerebellar ataxia type 3: A cross-sectional study	10.1016/j.clinbiomech.2022.105711	http://dx.doi.org/10.1016/j.clinbiomech.2022.105711	0268-0033	Clinical Biomechanics	Ana Fernanda Galvão			2022	1657132497	0	0	0	0	8	0	6	0	6	0	5	5	FALSE	Ana Fernanda Galvão, Thiago Lemos, Camilla Polonini Martins, Carlos Henrique Ramos Horsczaruk, Laura Alice Santos Oliveira, Arthur de Sá Ferreira	0268-0033	1	3.7	0.541	A3
Brazilian studies on pulmonary function in COPD patients: what are the gaps?	10.2147/copd.s54328	http://dx.doi.org/10.2147/copd.s54328	1178-2005	International Journal of Chronic Obstructive Pulmonary Disease	Pedro Melo			2016	1468521105	0	0	0	0	3	0	3	0	3	0	45	2	TRUE	Pedro Melo, Agnaldo Lopes	1178-2005	5	NA	0.924	A1
Brazilian version of the Functional Status Score for the ICU: translation and cross-cultural adaptation	10.5935/0103-507x.20170006	http://dx.doi.org/10.5935/0103-507x.20170006	0103-507X	Revista Brasileira de Terapia Intensiva	Vinicius Zacarias Maldaner da Silva			2017	1594379868	1	0	0	0	47	0	16	0	17	0	117	10	TRUE	Vinicius Zacarias Maldaner da Silva, Jose Aires de Araújo Neto, Gerson Cipriano Júnior, Mariela Pinedo, Dale M. Needham, Jennifer M. Zanni, Fernando Silva Guimarães	0103-507X	13	2.7	0.449	B1
Breast reconstruction and risk of lymphedema after mastectomy: A prospective cohort study with 10 years of follow-up	10.1016/j.bjps.2016.06.001	http://dx.doi.org/10.1016/j.bjps.2016.06.001	1748-6815	Journal of Plastic, Reconstructive & Aesthetic Surgery (JPRAS)	Monique M. Menezes			2016	1530712892	2	0	0	0	13	0	4	0	7	0	56	6	FALSE	Monique M. Menezes, Marcelo A. Bello, Eduardo Millen, Frederico A.S. Lucas, Flávia N. Carvalho, Mauro F.C. Andrade, Ana Carolina P.R. Pereira, Rosalina J. Koifman, Anke Bergmann	1748-6815	8	2.9	0.826	A2
Caffeine Increased Muscle Endurance Performance Despite Reduced Cortical Activation and Unchanged Neuromuscular Efficiency and Corticomuscular Coherence	10.3390/nu11102471	http://dx.doi.org/10.3390/nu11102471	2072-6643	Nutrients	Paulo Franco-Alvarenga			2019	1593058254	0	0	0	0	67	0	57	0	57	0	66	36	TRUE	Paulo Franco-Alvarenga, Cayque Brietzke, Raul Canestri, Márcio Goethel, Bruno Viana, Flávio Pires	2072-6643	9	9.0	1.291	A1
Caffeine increases motor output entropy and performance in 4 km cycling time trial	10.1371/journal.pone.0236592	http://dx.doi.org/10.1371/journal.pone.0236592	1932-6203	PLOS ONE	Bruno Ferreira Viana			2020	1629117602	0	0	0	4	23	0	17	0	21	0	30	49	TRUE	Bruno Ferreira Viana, Gabriel S. Trajano, Carlos Ugrinowitsch, Flávio Oliveira Pires	1932-6203	3	6.0	0.885	A1
